num decayed parameter tensors: 26, with 1,220,736 parameters
num non-decayed parameter tensors: 13, with 1,664 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.1897, val loss 4.1868
iter 0: loss 4.1943, time 32406.98ms, mfu -100.00%
iter 10: loss 3.7434, time 140.84ms, mfu 0.35%
iter 20: loss 3.5793, time 142.63ms, mfu 0.35%
iter 30: loss 3.2972, time 142.18ms, mfu 0.35%
iter 40: loss 3.0624, time 141.83ms, mfu 0.35%
iter 50: loss 2.8745, time 142.78ms, mfu 0.35%
iter 60: loss 2.7541, time 141.89ms, mfu 0.35%
iter 70: loss 2.6868, time 141.67ms, mfu 0.35%
iter 80: loss 2.6524, time 143.61ms, mfu 0.35%
iter 90: loss 2.5917, time 139.97ms, mfu 0.35%
iter 100: loss 2.5667, time 141.83ms, mfu 0.35%
iter 110: loss 2.5487, time 143.94ms, mfu 0.35%
iter 120: loss 2.5811, time 143.47ms, mfu 0.35%
iter 130: loss 2.5143, time 143.40ms, mfu 0.35%
iter 140: loss 2.5153, time 144.16ms, mfu 0.35%
iter 150: loss 2.5122, time 143.00ms, mfu 0.35%
iter 160: loss 2.4719, time 143.45ms, mfu 0.35%
iter 170: loss 2.4895, time 143.40ms, mfu 0.35%
iter 180: loss 2.4858, time 143.95ms, mfu 0.35%
iter 190: loss 2.4868, time 143.84ms, mfu 0.35%
iter 200: loss 2.4597, time 143.78ms, mfu 0.35%
iter 210: loss 2.4529, time 143.68ms, mfu 0.35%
iter 220: loss 2.4741, time 145.11ms, mfu 0.35%
iter 230: loss 2.4463, time 145.86ms, mfu 0.35%
iter 240: loss 2.4367, time 145.67ms, mfu 0.35%
step 250: train loss 2.3997, val loss 2.4093
saving checkpoint to out-shakespeare-baseline
iter 250: loss 2.4042, time 19073.68ms, mfu 0.31%
iter 260: loss 2.4164, time 148.21ms, mfu 0.32%
iter 270: loss 2.4007, time 148.76ms, mfu 0.32%
iter 280: loss 2.4073, time 147.87ms, mfu 0.32%
iter 290: loss 2.3751, time 148.71ms, mfu 0.32%
iter 300: loss 2.3856, time 148.08ms, mfu 0.32%
iter 310: loss 2.3756, time 149.39ms, mfu 0.32%
iter 320: loss 2.3522, time 150.55ms, mfu 0.32%
iter 330: loss 2.3603, time 148.45ms, mfu 0.33%
iter 340: loss 2.3440, time 149.84ms, mfu 0.33%
iter 350: loss 2.3220, time 149.39ms, mfu 0.33%
iter 360: loss 2.3076, time 150.93ms, mfu 0.33%
iter 370: loss 2.3072, time 151.75ms, mfu 0.33%
iter 380: loss 2.3075, time 151.78ms, mfu 0.33%
iter 390: loss 2.2805, time 151.89ms, mfu 0.33%
iter 400: loss 2.2706, time 150.60ms, mfu 0.33%
iter 410: loss 2.2639, time 149.24ms, mfu 0.33%
iter 420: loss 2.2765, time 153.24ms, mfu 0.33%
iter 430: loss 2.2555, time 151.26ms, mfu 0.33%
iter 440: loss 2.2245, time 149.73ms, mfu 0.33%
iter 450: loss 2.2164, time 152.06ms, mfu 0.33%
iter 460: loss 2.2190, time 150.41ms, mfu 0.33%
iter 470: loss 2.1769, time 148.43ms, mfu 0.33%
iter 480: loss 2.2063, time 149.53ms, mfu 0.33%
iter 490: loss 2.1874, time 149.64ms, mfu 0.33%
step 500: train loss 2.0641, val loss 2.1271
saving checkpoint to out-shakespeare-baseline
iter 500: loss 2.1638, time 19239.83ms, mfu 0.30%
iter 510: loss 2.1320, time 148.54ms, mfu 0.30%
iter 520: loss 2.1255, time 148.60ms, mfu 0.30%
iter 530: loss 2.1274, time 148.89ms, mfu 0.31%
iter 540: loss 2.1489, time 148.29ms, mfu 0.31%
iter 550: loss 2.1011, time 148.83ms, mfu 0.31%
iter 560: loss 2.0891, time 148.78ms, mfu 0.32%
iter 570: loss 2.0974, time 149.59ms, mfu 0.32%
iter 580: loss 2.0672, time 148.62ms, mfu 0.32%
iter 590: loss 2.0629, time 147.80ms, mfu 0.32%
iter 600: loss 2.0594, time 148.86ms, mfu 0.32%
iter 610: loss 2.0331, time 148.83ms, mfu 0.32%
iter 620: loss 2.0298, time 148.63ms, mfu 0.32%
iter 630: loss 2.0242, time 149.15ms, mfu 0.33%
iter 640: loss 2.0088, time 148.49ms, mfu 0.33%
iter 650: loss 1.9924, time 148.40ms, mfu 0.33%
iter 660: loss 2.0086, time 147.84ms, mfu 0.33%
iter 670: loss 1.9859, time 147.59ms, mfu 0.33%
iter 680: loss 1.9734, time 148.26ms, mfu 0.33%
iter 690: loss 1.9777, time 147.85ms, mfu 0.33%
iter 700: loss 1.9634, time 148.89ms, mfu 0.33%
iter 710: loss 1.9683, time 149.09ms, mfu 0.33%
iter 720: loss 1.9500, time 147.89ms, mfu 0.33%
iter 730: loss 1.9314, time 148.97ms, mfu 0.33%
iter 740: loss 1.9240, time 149.94ms, mfu 0.33%
step 750: train loss 1.7848, val loss 1.9229
saving checkpoint to out-shakespeare-baseline
iter 750: loss 1.9053, time 19275.15ms, mfu 0.30%
iter 760: loss 1.9395, time 147.37ms, mfu 0.30%
iter 770: loss 1.8971, time 149.90ms, mfu 0.31%
iter 780: loss 1.9005, time 148.69ms, mfu 0.31%
iter 790: loss 1.8693, time 147.57ms, mfu 0.31%
iter 800: loss 1.8732, time 149.38ms, mfu 0.31%
iter 810: loss 1.8665, time 148.01ms, mfu 0.32%
