Overriding config with config/train_shakespeare_char_run2.py:
# Baseline configuration
out_dir = 'out-shakespeare-run2'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'run2'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.0 # changed to 0.0
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'mps' 
compile = False # change to 'cuda' if you have a GPU
# set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2865, time 40084.09ms, mfu -100.00%
iter 10: loss 3.0330, time 275.55ms, mfu 1.35%
iter 20: loss 2.6544, time 270.62ms, mfu 1.35%
iter 30: loss 2.5756, time 264.78ms, mfu 1.36%
iter 40: loss 2.5358, time 265.21ms, mfu 1.36%
iter 50: loss 2.4918, time 266.64ms, mfu 1.37%
iter 60: loss 2.4697, time 267.33ms, mfu 1.37%
iter 70: loss 2.4630, time 266.57ms, mfu 1.37%
iter 80: loss 2.4657, time 267.04ms, mfu 1.38%
iter 90: loss 2.4293, time 265.71ms, mfu 1.38%
iter 100: loss 2.4246, time 265.15ms, mfu 1.38%
iter 110: loss 2.3925, time 265.70ms, mfu 1.38%
iter 120: loss 2.3469, time 265.24ms, mfu 1.39%
iter 130: loss 2.3266, time 264.86ms, mfu 1.39%
iter 140: loss 2.2787, time 265.51ms, mfu 1.39%
iter 150: loss 2.2460, time 264.93ms, mfu 1.39%
iter 160: loss 2.1596, time 264.20ms, mfu 1.39%
iter 170: loss 2.1313, time 263.95ms, mfu 1.39%
iter 180: loss 2.0663, time 263.96ms, mfu 1.40%
iter 190: loss 1.9977, time 263.03ms, mfu 1.40%
iter 200: loss 1.9671, time 262.39ms, mfu 1.40%
iter 210: loss 1.9224, time 261.28ms, mfu 1.40%
iter 220: loss 1.8916, time 265.96ms, mfu 1.40%
iter 230: loss 1.8335, time 263.88ms, mfu 1.40%
iter 240: loss 1.8373, time 263.71ms, mfu 1.40%
step 250: train loss 1.7892, val loss 1.9324
saving checkpoint to out-shakespeare-run2
iter 250: loss 1.7953, time 41996.54ms, mfu 1.27%
iter 260: loss 1.7300, time 258.69ms, mfu 1.28%
iter 270: loss 1.7319, time 260.36ms, mfu 1.30%
iter 280: loss 1.7288, time 260.55ms, mfu 1.31%
iter 290: loss 1.6763, time 261.75ms, mfu 1.32%
iter 300: loss 1.6528, time 259.12ms, mfu 1.33%
iter 310: loss 1.6232, time 256.91ms, mfu 1.35%
iter 320: loss 1.6198, time 257.90ms, mfu 1.36%
iter 330: loss 1.5836, time 299.89ms, mfu 1.34%
iter 340: loss 1.5489, time 261.43ms, mfu 1.35%
iter 350: loss 1.5833, time 264.45ms, mfu 1.36%
iter 360: loss 1.5405, time 254.54ms, mfu 1.37%
iter 370: loss 1.4975, time 259.88ms, mfu 1.37%
iter 380: loss 1.5086, time 263.19ms, mfu 1.38%
iter 390: loss 1.5001, time 261.02ms, mfu 1.38%
iter 400: loss 1.5435, time 272.60ms, mfu 1.38%
iter 410: loss 1.4615, time 263.77ms, mfu 1.39%
iter 420: loss 1.4875, time 265.84ms, mfu 1.39%
iter 430: loss 1.4400, time 267.14ms, mfu 1.39%
iter 440: loss 1.4381, time 264.34ms, mfu 1.39%
iter 450: loss 1.4118, time 265.17ms, mfu 1.39%
iter 460: loss 1.3773, time 271.25ms, mfu 1.39%
iter 470: loss 1.4226, time 271.28ms, mfu 1.39%
iter 480: loss 1.4045, time 263.79ms, mfu 1.39%
iter 490: loss 1.3858, time 277.41ms, mfu 1.39%
step 500: train loss 1.3873, val loss 1.6161
saving checkpoint to out-shakespeare-run2
iter 500: loss 1.3852, time 45226.94ms, mfu 1.25%
iter 510: loss 1.4048, time 282.98ms, mfu 1.25%
iter 520: loss 1.3728, time 279.79ms, mfu 1.26%
iter 530: loss 1.3337, time 286.89ms, mfu 1.27%
iter 540: loss 1.3885, time 286.26ms, mfu 1.27%
iter 550: loss 1.3563, time 284.33ms, mfu 1.27%
iter 560: loss 1.3564, time 285.05ms, mfu 1.28%
iter 570: loss 1.3434, time 280.94ms, mfu 1.28%
iter 580: loss 1.3098, time 315.17ms, mfu 1.27%
iter 590: loss 1.2747, time 282.65ms, mfu 1.28%
iter 600: loss 1.3114, time 276.15ms, mfu 1.28%
iter 610: loss 1.3343, time 282.90ms, mfu 1.29%
iter 620: loss 1.3250, time 276.92ms, mfu 1.29%
