Overriding config with config/train_shakespeare_char_run4_2layers.py:
# Baseline configuration
out_dir = 'out-shakespeare-2layers'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = '2-layers'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 2 # changed
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'mps' 
compile = False # change to 'cuda' if you have a GPU
# set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 3.57M
num decayed parameter tensors: 10, with 3,662,208 parameters
num non-decayed parameter tensors: 5, with 1,920 parameters
using fused AdamW: False
step 0: train loss 4.2460, val loss 4.2431
iter 0: loss 4.2559, time 14229.25ms, mfu -100.00%
iter 10: loss 3.3133, time 101.50ms, mfu 1.23%
iter 20: loss 2.9146, time 99.22ms, mfu 1.23%
iter 30: loss 2.6727, time 99.42ms, mfu 1.23%
iter 40: loss 2.5777, time 99.31ms, mfu 1.24%
iter 50: loss 2.5358, time 99.38ms, mfu 1.24%
iter 60: loss 2.4973, time 99.26ms, mfu 1.24%
iter 70: loss 2.4917, time 99.81ms, mfu 1.24%
iter 80: loss 2.5008, time 99.23ms, mfu 1.24%
iter 90: loss 2.4888, time 99.24ms, mfu 1.24%
iter 100: loss 2.4669, time 101.69ms, mfu 1.24%
iter 110: loss 2.4605, time 101.46ms, mfu 1.24%
iter 120: loss 2.4667, time 101.39ms, mfu 1.24%
iter 130: loss 2.4268, time 99.55ms, mfu 1.24%
iter 140: loss 2.4342, time 100.52ms, mfu 1.24%
iter 150: loss 2.4244, time 100.18ms, mfu 1.24%
iter 160: loss 2.3998, time 99.47ms, mfu 1.24%
iter 170: loss 2.3890, time 100.53ms, mfu 1.24%
iter 180: loss 2.3395, time 98.86ms, mfu 1.24%
iter 190: loss 2.3018, time 100.58ms, mfu 1.24%
iter 200: loss 2.2725, time 99.70ms, mfu 1.24%
iter 210: loss 2.2357, time 99.77ms, mfu 1.25%
iter 220: loss 2.1881, time 100.47ms, mfu 1.25%
iter 230: loss 2.1141, time 99.74ms, mfu 1.25%
iter 240: loss 2.0967, time 100.24ms, mfu 1.25%
step 250: train loss 1.9959, val loss 2.1136
saving checkpoint to out-shakespeare-2layers
iter 250: loss 2.0532, time 14623.60ms, mfu 1.12%
iter 260: loss 2.0494, time 99.80ms, mfu 1.13%
iter 270: loss 2.0237, time 104.52ms, mfu 1.14%
iter 280: loss 2.0059, time 103.31ms, mfu 1.15%
iter 290: loss 1.9782, time 104.49ms, mfu 1.15%
iter 300: loss 1.9211, time 104.73ms, mfu 1.16%
iter 310: loss 1.9174, time 104.80ms, mfu 1.16%
iter 320: loss 1.8679, time 105.78ms, mfu 1.16%
iter 330: loss 1.8635, time 105.27ms, mfu 1.16%
iter 340: loss 1.8503, time 104.97ms, mfu 1.17%
iter 350: loss 1.8137, time 104.60ms, mfu 1.17%
iter 360: loss 1.8426, time 105.49ms, mfu 1.17%
iter 370: loss 1.7864, time 105.83ms, mfu 1.17%
iter 380: loss 1.7807, time 105.61ms, mfu 1.17%
iter 390: loss 1.8000, time 104.89ms, mfu 1.17%
iter 400: loss 1.8017, time 106.24ms, mfu 1.17%
iter 410: loss 1.7651, time 104.61ms, mfu 1.18%
iter 420: loss 1.7209, time 104.23ms, mfu 1.18%
iter 430: loss 1.7156, time 105.53ms, mfu 1.18%
iter 440: loss 1.7317, time 104.38ms, mfu 1.18%
iter 450: loss 1.7011, time 103.64ms, mfu 1.18%
iter 460: loss 1.7052, time 104.48ms, mfu 1.18%
iter 470: loss 1.6739, time 103.62ms, mfu 1.19%
iter 480: loss 1.6922, time 107.68ms, mfu 1.18%
iter 490: loss 1.6749, time 103.83ms, mfu 1.18%
step 500: train loss 1.5801, val loss 1.7768
saving checkpoint to out-shakespeare-2layers
iter 500: loss 1.6836, time 14735.27ms, mfu 1.07%
iter 510: loss 1.6728, time 103.36ms, mfu 1.08%
iter 520: loss 1.6572, time 103.76ms, mfu 1.09%
iter 530: loss 1.6282, time 104.92ms, mfu 1.10%
iter 540: loss 1.6844, time 103.76ms, mfu 1.11%
iter 550: loss 1.6053, time 104.23ms, mfu 1.12%
iter 560: loss 1.6358, time 104.94ms, mfu 1.13%
iter 570: loss 1.6200, time 102.28ms, mfu 1.14%
iter 580: loss 1.6475, time 103.41ms, mfu 1.14%
iter 590: loss 1.5945, time 104.42ms, mfu 1.15%
iter 600: loss 1.6190, time 103.23ms, mfu 1.15%
iter 610: loss 1.6430, time 102.61ms, mfu 1.16%
iter 620: loss 1.5939, time 103.07ms, mfu 1.17%
iter 630: loss 1.5840, time 104.09ms, mfu 1.17%
iter 640: loss 1.5941, time 104.28ms, mfu 1.17%
iter 650: loss 1.5756, time 103.76ms, mfu 1.17%
iter 660: loss 1.5634, time 101.94ms, mfu 1.18%
iter 670: loss 1.5932, time 101.45ms, mfu 1.18%
iter 680: loss 1.6114, time 101.44ms, mfu 1.19%
iter 690: loss 1.5923, time 102.27ms, mfu 1.19%
iter 700: loss 1.5939, time 102.63ms, mfu 1.19%
iter 710: loss 1.5674, time 104.21ms, mfu 1.19%
iter 720: loss 1.5465, time 105.04ms, mfu 1.19%
iter 730: loss 1.5737, time 103.85ms, mfu 1.19%
iter 740: loss 1.5606, time 102.64ms, mfu 1.20%
step 750: train loss 1.4521, val loss 1.6731
saving checkpoint to out-shakespeare-2layers
iter 750: loss 1.5416, time 14820.71ms, mfu 1.08%
iter 760: loss 1.5686, time 104.43ms, mfu 1.09%
iter 770: loss 1.5364, time 103.97ms, mfu 1.10%
iter 780: loss 1.5585, time 102.88ms, mfu 1.11%
iter 790: loss 1.5578, time 102.26ms, mfu 1.12%
iter 800: loss 1.5477, time 103.30ms, mfu 1.13%
iter 810: loss 1.5311, time 104.23ms, mfu 1.14%
iter 820: loss 1.5452, time 101.81ms, mfu 1.15%
iter 830: loss 1.5223, time 102.71ms, mfu 1.15%
iter 840: loss 1.5145, time 104.10ms, mfu 1.16%
iter 850: loss 1.5316, time 102.02ms, mfu 1.16%
iter 860: loss 1.5072, time 102.04ms, mfu 1.17%
iter 870: loss 1.5138, time 101.61ms, mfu 1.18%
iter 880: loss 1.5234, time 102.67ms, mfu 1.18%
iter 890: loss 1.5197, time 103.69ms, mfu 1.18%
iter 900: loss 1.4968, time 102.96ms, mfu 1.19%
iter 910: loss 1.5045, time 102.18ms, mfu 1.19%
iter 920: loss 1.5144, time 102.57ms, mfu 1.19%
iter 930: loss 1.4945, time 102.02ms, mfu 1.19%
iter 940: loss 1.4706, time 102.47ms, mfu 1.20%
iter 950: loss 1.5066, time 102.60ms, mfu 1.20%
iter 960: loss 1.4928, time 103.10ms, mfu 1.20%
iter 970: loss 1.5016, time 101.68ms, mfu 1.20%
iter 980: loss 1.4914, time 101.22ms, mfu 1.21%
iter 990: loss 1.4830, time 101.16ms, mfu 1.21%
step 1000: train loss 1.3769, val loss 1.6022
saving checkpoint to out-shakespeare-2layers
iter 1000: loss 1.4953, time 14541.24ms, mfu 1.09%
iter 1010: loss 1.4871, time 100.51ms, mfu 1.10%
iter 1020: loss 1.5000, time 101.80ms, mfu 1.12%
iter 1030: loss 1.4830, time 102.19ms, mfu 1.13%
iter 1040: loss 1.4557, time 101.45ms, mfu 1.14%
iter 1050: loss 1.4673, time 102.67ms, mfu 1.14%
iter 1060: loss 1.4948, time 103.16ms, mfu 1.15%
iter 1070: loss 1.4597, time 101.44ms, mfu 1.16%
iter 1080: loss 1.4617, time 102.76ms, mfu 1.16%
iter 1090: loss 1.4844, time 104.14ms, mfu 1.17%
iter 1100: loss 1.4519, time 103.94ms, mfu 1.17%
iter 1110: loss 1.4565, time 103.55ms, mfu 1.17%
iter 1120: loss 1.4548, time 103.58ms, mfu 1.18%
iter 1130: loss 1.4386, time 101.51ms, mfu 1.18%
iter 1140: loss 1.4601, time 101.09ms, mfu 1.19%
iter 1150: loss 1.4505, time 101.70ms, mfu 1.19%
iter 1160: loss 1.4227, time 101.06ms, mfu 1.20%
iter 1170: loss 1.4672, time 101.85ms, mfu 1.20%
iter 1180: loss 1.4356, time 101.48ms, mfu 1.20%
iter 1190: loss 1.4363, time 100.99ms, mfu 1.21%
iter 1200: loss 1.4343, time 100.54ms, mfu 1.21%
iter 1210: loss 1.4587, time 101.04ms, mfu 1.21%
iter 1220: loss 1.4617, time 101.05ms, mfu 1.21%
iter 1230: loss 1.4478, time 100.49ms, mfu 1.22%
iter 1240: loss 1.4198, time 100.66ms, mfu 1.22%
step 1250: train loss 1.3331, val loss 1.5898
saving checkpoint to out-shakespeare-2layers
iter 1250: loss 1.4483, time 14533.62ms, mfu 1.10%
iter 1260: loss 1.4338, time 100.49ms, mfu 1.11%
iter 1270: loss 1.4160, time 101.06ms, mfu 1.12%
iter 1280: loss 1.4403, time 101.52ms, mfu 1.13%
iter 1290: loss 1.4403, time 100.32ms, mfu 1.15%
iter 1300: loss 1.4377, time 101.27ms, mfu 1.15%
iter 1310: loss 1.4309, time 102.28ms, mfu 1.16%
iter 1320: loss 1.4948, time 101.90ms, mfu 1.17%
iter 1330: loss 1.4397, time 101.95ms, mfu 1.17%
iter 1340: loss 1.4102, time 101.87ms, mfu 1.18%
iter 1350: loss 1.4018, time 101.64ms, mfu 1.18%
iter 1360: loss 1.4338, time 102.46ms, mfu 1.19%
iter 1370: loss 1.4439, time 102.23ms, mfu 1.19%
iter 1380: loss 1.4397, time 102.02ms, mfu 1.19%
iter 1390: loss 1.4344, time 102.07ms, mfu 1.20%
iter 1400: loss 1.4337, time 101.96ms, mfu 1.20%
iter 1410: loss 1.4142, time 102.68ms, mfu 1.20%
iter 1420: loss 1.4385, time 101.84ms, mfu 1.20%
iter 1430: loss 1.3907, time 101.84ms, mfu 1.20%
iter 1440: loss 1.4040, time 102.42ms, mfu 1.21%
iter 1450: loss 1.3865, time 102.08ms, mfu 1.21%
iter 1460: loss 1.4356, time 102.54ms, mfu 1.21%
iter 1470: loss 1.4240, time 102.92ms, mfu 1.21%
iter 1480: loss 1.4367, time 102.62ms, mfu 1.21%
iter 1490: loss 1.4176, time 102.68ms, mfu 1.21%
step 1500: train loss 1.2979, val loss 1.5630
saving checkpoint to out-shakespeare-2layers
iter 1500: loss 1.3750, time 14587.32ms, mfu 1.09%
iter 1510: loss 1.4324, time 102.82ms, mfu 1.10%
