Overriding config with config/train_taylor_corpus_baseline.py:
# Baseline configuration
out_dir = 'out-taylor-corpus'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'taylor-baseline'
dataset = 'taylor_swift_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'mps' # change to 'cuda' if you have a GPU # changed from CPU
compile = False 
# set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 80 (inside data/taylor_swift_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,745,856 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 0: train loss 4.4955, val loss 4.4926
iter 0: loss 4.4787, time 39894.90ms, mfu -100.00%
iter 10: loss 3.1307, time 290.88ms, mfu 1.28%
iter 20: loss 2.7071, time 287.38ms, mfu 1.28%
iter 30: loss 2.5330, time 292.30ms, mfu 1.28%
iter 40: loss 2.4541, time 318.98ms, mfu 1.27%
iter 50: loss 2.4538, time 300.84ms, mfu 1.27%
iter 60: loss 2.3963, time 306.61ms, mfu 1.26%
iter 70: loss 2.4158, time 302.42ms, mfu 1.26%
iter 80: loss 2.3796, time 302.95ms, mfu 1.26%
iter 90: loss 2.3826, time 299.61ms, mfu 1.26%
iter 100: loss 2.3739, time 298.99ms, mfu 1.25%
iter 110: loss 2.3553, time 299.87ms, mfu 1.25%
iter 120: loss 2.3170, time 299.95ms, mfu 1.25%
iter 130: loss 2.3105, time 298.82ms, mfu 1.25%
iter 140: loss 2.3021, time 301.73ms, mfu 1.25%
iter 150: loss 2.2191, time 298.32ms, mfu 1.25%
iter 160: loss 2.2221, time 296.88ms, mfu 1.25%
iter 170: loss 2.1459, time 297.38ms, mfu 1.25%
iter 180: loss 2.0583, time 295.94ms, mfu 1.25%
iter 190: loss 2.0074, time 297.84ms, mfu 1.25%
iter 200: loss 1.9835, time 296.96ms, mfu 1.25%
iter 210: loss 1.9029, time 295.48ms, mfu 1.25%
iter 220: loss 1.9260, time 294.46ms, mfu 1.25%
iter 230: loss 1.8538, time 294.66ms, mfu 1.26%
iter 240: loss 1.8514, time 349.15ms, mfu 1.24%
step 250: train loss 1.7235, val loss 1.8993
saving checkpoint to out-taylor-corpus
iter 250: loss 1.7989, time 41904.01ms, mfu 1.11%
iter 260: loss 1.7186, time 302.16ms, mfu 1.13%
iter 270: loss 1.7203, time 292.94ms, mfu 1.14%
iter 280: loss 1.7218, time 289.41ms, mfu 1.16%
iter 290: loss 1.6923, time 289.66ms, mfu 1.17%
iter 300: loss 1.6799, time 287.37ms, mfu 1.18%
iter 310: loss 1.6669, time 288.05ms, mfu 1.19%
iter 320: loss 1.5899, time 294.87ms, mfu 1.20%
iter 330: loss 1.5959, time 301.02ms, mfu 1.20%
iter 340: loss 1.6283, time 291.95ms, mfu 1.21%
iter 350: loss 1.5937, time 294.43ms, mfu 1.22%
iter 360: loss 1.5765, time 296.96ms, mfu 1.22%
iter 370: loss 1.5338, time 294.34ms, mfu 1.23%
iter 380: loss 1.5433, time 297.11ms, mfu 1.23%
iter 390: loss 1.5536, time 297.21ms, mfu 1.23%
iter 400: loss 1.5078, time 298.56ms, mfu 1.23%
iter 410: loss 1.4807, time 291.46ms, mfu 1.24%
iter 420: loss 1.4272, time 289.16ms, mfu 1.24%
iter 430: loss 1.4867, time 294.39ms, mfu 1.24%
iter 440: loss 1.4213, time 292.32ms, mfu 1.25%
iter 450: loss 1.4279, time 289.94ms, mfu 1.25%
iter 460: loss 1.3876, time 292.27ms, mfu 1.25%
iter 470: loss 1.4358, time 289.26ms, mfu 1.26%
iter 480: loss 1.3688, time 288.68ms, mfu 1.26%
iter 490: loss 1.3506, time 289.63ms, mfu 1.26%
step 500: train loss 1.2850, val loss 1.6432
saving checkpoint to out-taylor-corpus
iter 500: loss 1.4345, time 40749.65ms, mfu 1.14%
iter 510: loss 1.3340, time 297.32ms, mfu 1.15%
iter 520: loss 1.3473, time 291.79ms, mfu 1.16%
iter 530: loss 1.2989, time 298.50ms, mfu 1.17%
iter 540: loss 1.3262, time 297.55ms, mfu 1.18%
iter 550: loss 1.3471, time 297.00ms, mfu 1.19%
iter 560: loss 1.3229, time 290.02ms, mfu 1.20%
iter 570: loss 1.2905, time 290.50ms, mfu 1.21%
iter 580: loss 1.2870, time 290.01ms, mfu 1.21%
iter 590: loss 1.3326, time 290.76ms, mfu 1.22%
iter 600: loss 1.2370, time 290.59ms, mfu 1.23%
iter 610: loss 1.2510, time 290.33ms, mfu 1.23%
iter 620: loss 1.2422, time 290.38ms, mfu 1.24%
