Overriding config with config/train_taylor_corpus_baseline.py:
# Baseline configuration
out_dir = 'out-taylor-baseline'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'taylor-baseline'
dataset = 'taylor_swift_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'mps' # change to 'cuda' if you have a GPU # changed from CPU
compile = False 
# set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 80 (inside data/taylor_swift_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,745,856 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 0: train loss 4.4955, val loss 4.4926
iter 0: loss 4.4787, time 39822.87ms, mfu -100.00%
iter 10: loss 3.1307, time 289.27ms, mfu 1.29%
iter 20: loss 2.7071, time 295.28ms, mfu 1.29%
iter 30: loss 2.5330, time 295.21ms, mfu 1.28%
iter 40: loss 2.4541, time 290.15ms, mfu 1.28%
iter 50: loss 2.4538, time 295.84ms, mfu 1.28%
iter 60: loss 2.3963, time 294.88ms, mfu 1.28%
iter 70: loss 2.4158, time 301.02ms, mfu 1.28%
iter 80: loss 2.3796, time 305.80ms, mfu 1.27%
iter 90: loss 2.3826, time 299.86ms, mfu 1.27%
iter 100: loss 2.3739, time 305.49ms, mfu 1.26%
iter 110: loss 2.3553, time 300.45ms, mfu 1.26%
iter 120: loss 2.3170, time 304.51ms, mfu 1.26%
iter 130: loss 2.3105, time 301.77ms, mfu 1.25%
iter 140: loss 2.3021, time 300.39ms, mfu 1.25%
iter 150: loss 2.2191, time 298.82ms, mfu 1.25%
iter 160: loss 2.2221, time 297.37ms, mfu 1.25%
iter 170: loss 2.1459, time 303.32ms, mfu 1.25%
iter 180: loss 2.0583, time 306.26ms, mfu 1.25%
iter 190: loss 2.0074, time 298.78ms, mfu 1.25%
iter 200: loss 1.9835, time 293.18ms, mfu 1.25%
iter 210: loss 1.9029, time 304.18ms, mfu 1.25%
iter 220: loss 1.9260, time 304.12ms, mfu 1.25%
iter 230: loss 1.8538, time 293.16ms, mfu 1.25%
iter 240: loss 1.8514, time 293.19ms, mfu 1.25%
step 250: train loss 1.7235, val loss 1.8993
saving checkpoint to out-taylor-baseline
iter 250: loss 1.7989, time 42093.44ms, mfu 1.13%
iter 260: loss 1.7186, time 300.29ms, mfu 1.14%
iter 270: loss 1.7203, time 293.17ms, mfu 1.15%
iter 280: loss 1.7218, time 297.68ms, mfu 1.16%
iter 290: loss 1.6923, time 295.51ms, mfu 1.17%
iter 300: loss 1.6799, time 292.56ms, mfu 1.18%
iter 310: loss 1.6669, time 295.77ms, mfu 1.19%
iter 320: loss 1.5899, time 298.02ms, mfu 1.20%
iter 330: loss 1.5959, time 299.67ms, mfu 1.20%
iter 340: loss 1.6283, time 295.21ms, mfu 1.21%
iter 350: loss 1.5937, time 294.85ms, mfu 1.21%
iter 360: loss 1.5765, time 291.34ms, mfu 1.22%
iter 370: loss 1.5338, time 294.44ms, mfu 1.22%
iter 380: loss 1.5433, time 291.57ms, mfu 1.23%
iter 390: loss 1.5536, time 291.55ms, mfu 1.23%
iter 400: loss 1.5078, time 295.99ms, mfu 1.24%
iter 410: loss 1.4807, time 289.81ms, mfu 1.24%
iter 420: loss 1.4272, time 288.78ms, mfu 1.25%
iter 430: loss 1.4867, time 290.65ms, mfu 1.25%
iter 440: loss 1.4213, time 289.97ms, mfu 1.25%
iter 450: loss 1.4279, time 289.09ms, mfu 1.26%
iter 460: loss 1.3876, time 296.61ms, mfu 1.26%
iter 470: loss 1.4358, time 291.87ms, mfu 1.26%
iter 480: loss 1.3688, time 288.57ms, mfu 1.26%
iter 490: loss 1.3506, time 290.86ms, mfu 1.26%
step 500: train loss 1.2850, val loss 1.6432
saving checkpoint to out-taylor-baseline
iter 500: loss 1.4345, time 41282.89ms, mfu 1.14%
iter 510: loss 1.3340, time 298.20ms, mfu 1.15%
iter 520: loss 1.3473, time 291.75ms, mfu 1.16%
iter 530: loss 1.2989, time 298.62ms, mfu 1.17%
iter 540: loss 1.3262, time 300.48ms, mfu 1.18%
iter 550: loss 1.3471, time 293.34ms, mfu 1.19%
iter 560: loss 1.3229, time 303.90ms, mfu 1.19%
iter 570: loss 1.2905, time 304.74ms, mfu 1.19%
iter 580: loss 1.2870, time 300.04ms, mfu 1.20%
iter 590: loss 1.3326, time 299.22ms, mfu 1.20%
iter 600: loss 1.2370, time 298.40ms, mfu 1.21%
iter 610: loss 1.2510, time 297.53ms, mfu 1.21%
iter 620: loss 1.2422, time 300.34ms, mfu 1.22%
