num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2639, time 43933.72ms, mfu -100.00%
iter 10: loss 3.1459, time 287.02ms, mfu 1.30%
iter 20: loss 2.7319, time 288.33ms, mfu 1.30%
iter 30: loss 2.6226, time 288.98ms, mfu 1.30%
iter 40: loss 2.5756, time 290.54ms, mfu 1.30%
iter 50: loss 2.5239, time 296.60ms, mfu 1.29%
iter 60: loss 2.5127, time 300.31ms, mfu 1.29%
iter 70: loss 2.4897, time 302.12ms, mfu 1.28%
iter 80: loss 2.4936, time 303.42ms, mfu 1.28%
iter 90: loss 2.4706, time 302.31ms, mfu 1.27%
iter 100: loss 2.4636, time 301.95ms, mfu 1.27%
iter 110: loss 2.4584, time 300.64ms, mfu 1.26%
iter 120: loss 2.4334, time 300.81ms, mfu 1.26%
iter 130: loss 2.4130, time 300.57ms, mfu 1.26%
iter 140: loss 2.4097, time 300.27ms, mfu 1.26%
iter 150: loss 2.4161, time 300.63ms, mfu 1.26%
iter 160: loss 2.3752, time 299.15ms, mfu 1.26%
iter 170: loss 2.3496, time 299.26ms, mfu 1.25%
iter 180: loss 2.3133, time 298.89ms, mfu 1.25%
iter 190: loss 2.2534, time 298.44ms, mfu 1.25%
iter 200: loss 2.2060, time 303.01ms, mfu 1.25%
iter 210: loss 2.1468, time 305.30ms, mfu 1.25%
iter 220: loss 2.1415, time 302.96ms, mfu 1.25%
iter 230: loss 2.0737, time 304.92ms, mfu 1.24%
iter 240: loss 2.0792, time 308.73ms, mfu 1.24%
step 250: train loss 1.9637, val loss 2.0675
saving checkpoint to out-shakespeare-baseline
iter 250: loss 2.0306, time 41515.51ms, mfu 1.12%
iter 260: loss 1.9754, time 292.53ms, mfu 1.13%
iter 270: loss 1.9866, time 298.33ms, mfu 1.14%
iter 280: loss 1.9833, time 292.47ms, mfu 1.16%
iter 290: loss 1.9136, time 295.28ms, mfu 1.17%
iter 300: loss 1.9039, time 293.24ms, mfu 1.18%
iter 310: loss 1.8692, time 291.39ms, mfu 1.19%
iter 320: loss 1.8481, time 298.84ms, mfu 1.19%
iter 330: loss 1.8206, time 295.75ms, mfu 1.20%
iter 340: loss 1.7846, time 292.78ms, mfu 1.21%
iter 350: loss 1.8335, time 301.76ms, mfu 1.21%
iter 360: loss 1.7682, time 292.58ms, mfu 1.22%
iter 370: loss 1.7419, time 302.35ms, mfu 1.22%
iter 380: loss 1.7302, time 310.90ms, mfu 1.22%
iter 390: loss 1.7340, time 301.51ms, mfu 1.22%
iter 400: loss 1.7647, time 299.39ms, mfu 1.22%
iter 410: loss 1.6979, time 300.42ms, mfu 1.22%
iter 420: loss 1.7169, time 305.41ms, mfu 1.22%
iter 430: loss 1.6980, time 292.17ms, mfu 1.23%
iter 440: loss 1.6610, time 312.45ms, mfu 1.22%
iter 450: loss 1.6610, time 296.03ms, mfu 1.23%
iter 460: loss 1.6040, time 301.89ms, mfu 1.23%
iter 470: loss 1.6590, time 302.72ms, mfu 1.23%
iter 480: loss 1.6221, time 301.81ms, mfu 1.23%
iter 490: loss 1.6057, time 296.12ms, mfu 1.23%
step 500: train loss 1.5282, val loss 1.7312
saving checkpoint to out-shakespeare-baseline
iter 500: loss 1.6007, time 41787.81ms, mfu 1.11%
iter 510: loss 1.6093, time 296.90ms, mfu 1.12%
iter 520: loss 1.5878, time 298.88ms, mfu 1.14%
iter 530: loss 1.5684, time 298.51ms, mfu 1.15%
iter 540: loss 1.6258, time 297.62ms, mfu 1.16%
iter 550: loss 1.5705, time 298.77ms, mfu 1.17%
iter 560: loss 1.5635, time 298.69ms, mfu 1.18%
iter 570: loss 1.5720, time 298.99ms, mfu 1.18%
iter 580: loss 1.5369, time 298.40ms, mfu 1.19%
iter 590: loss 1.4975, time 299.19ms, mfu 1.19%
iter 600: loss 1.5241, time 310.73ms, mfu 1.20%
iter 610: loss 1.5501, time 335.20ms, mfu 1.19%
iter 620: loss 1.5379, time 312.70ms, mfu 1.19%
iter 630: loss 1.5109, time 300.32ms, mfu 1.19%
iter 640: loss 1.4681, time 299.69ms, mfu 1.20%
iter 650: loss 1.5031, time 303.63ms, mfu 1.20%
iter 660: loss 1.5077, time 299.04ms, mfu 1.21%
iter 670: loss 1.4514, time 299.03ms, mfu 1.21%
iter 680: loss 1.5155, time 297.21ms, mfu 1.21%
iter 690: loss 1.4686, time 298.57ms, mfu 1.22%
iter 700: loss 1.4899, time 297.20ms, mfu 1.22%
iter 710: loss 1.4702, time 296.61ms, mfu 1.22%
iter 720: loss 1.4430, time 297.95ms, mfu 1.23%
iter 730: loss 1.4203, time 297.65ms, mfu 1.23%
iter 740: loss 1.4326, time 297.50ms, mfu 1.23%
step 750: train loss 1.3673, val loss 1.5895
saving checkpoint to out-shakespeare-baseline
iter 750: loss 1.4291, time 42033.48ms, mfu 1.11%
