# Baseline configuration
out_dir = 'out-shakespeare-max-iters-2k'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'shakespeare-max-iters-2k'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 2000 # changed
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'mps' 
compile = False # change to 'cuda' if you have a GPU
# set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2639, time 39966.58ms, mfu -100.00%
iter 10: loss 3.1459, time 293.32ms, mfu 1.27%
iter 20: loss 2.7319, time 297.41ms, mfu 1.27%
iter 30: loss 2.6226, time 296.89ms, mfu 1.27%
iter 40: loss 2.5756, time 302.45ms, mfu 1.26%
iter 50: loss 2.5239, time 296.02ms, mfu 1.26%
iter 60: loss 2.5127, time 298.08ms, mfu 1.26%
iter 70: loss 2.4897, time 302.46ms, mfu 1.26%
iter 80: loss 2.4936, time 300.51ms, mfu 1.26%
iter 90: loss 2.4706, time 297.30ms, mfu 1.26%
iter 100: loss 2.4636, time 299.38ms, mfu 1.26%
iter 110: loss 2.4584, time 300.10ms, mfu 1.25%
iter 120: loss 2.4334, time 300.63ms, mfu 1.25%
iter 130: loss 2.4130, time 299.37ms, mfu 1.25%
iter 140: loss 2.4097, time 298.92ms, mfu 1.25%
iter 150: loss 2.4161, time 298.75ms, mfu 1.25%
iter 160: loss 2.3752, time 298.19ms, mfu 1.25%
iter 170: loss 2.3496, time 302.07ms, mfu 1.25%
iter 180: loss 2.3133, time 302.46ms, mfu 1.25%
iter 190: loss 2.2534, time 304.67ms, mfu 1.24%
iter 200: loss 2.2061, time 301.74ms, mfu 1.24%
iter 210: loss 2.1466, time 299.48ms, mfu 1.24%
iter 220: loss 2.1415, time 301.06ms, mfu 1.24%
iter 230: loss 2.0738, time 298.43ms, mfu 1.24%
iter 240: loss 2.0791, time 295.07ms, mfu 1.25%
step 250: train loss 1.9638, val loss 2.0676
saving checkpoint to out-shakespeare-max-iters-2k
iter 250: loss 2.0307, time 41838.62ms, mfu 1.12%
iter 260: loss 1.9755, time 301.67ms, mfu 1.13%
iter 270: loss 1.9864, time 294.11ms, mfu 1.15%
iter 280: loss 1.9834, time 290.07ms, mfu 1.16%
iter 290: loss 1.9136, time 289.56ms, mfu 1.17%
iter 300: loss 1.9040, time 289.23ms, mfu 1.18%
iter 310: loss 1.8693, time 295.53ms, mfu 1.19%
iter 320: loss 1.8485, time 295.09ms, mfu 1.20%
iter 330: loss 1.8206, time 293.22ms, mfu 1.21%
iter 340: loss 1.7844, time 289.89ms, mfu 1.21%
iter 350: loss 1.8333, time 291.08ms, mfu 1.22%
iter 360: loss 1.7694, time 296.18ms, mfu 1.22%
iter 370: loss 1.7439, time 294.81ms, mfu 1.23%
iter 380: loss 1.7305, time 297.13ms, mfu 1.23%
iter 390: loss 1.7319, time 291.78ms, mfu 1.24%
iter 400: loss 1.7645, time 295.63ms, mfu 1.24%
iter 410: loss 1.6971, time 295.16ms, mfu 1.24%
iter 420: loss 1.7161, time 292.59ms, mfu 1.24%
iter 430: loss 1.6974, time 291.10ms, mfu 1.25%
iter 440: loss 1.6616, time 289.93ms, mfu 1.25%
iter 450: loss 1.6623, time 291.17ms, mfu 1.25%
iter 460: loss 1.6039, time 290.93ms, mfu 1.26%
iter 470: loss 1.6591, time 293.45ms, mfu 1.26%
iter 480: loss 1.6227, time 295.89ms, mfu 1.26%
iter 490: loss 1.6050, time 288.94ms, mfu 1.26%
step 500: train loss 1.5294, val loss 1.7317
saving checkpoint to out-shakespeare-max-iters-2k
iter 500: loss 1.6008, time 40810.02ms, mfu 1.14%
iter 510: loss 1.6096, time 290.78ms, mfu 1.15%
iter 520: loss 1.5888, time 290.37ms, mfu 1.16%
iter 530: loss 1.5688, time 294.98ms, mfu 1.17%
iter 540: loss 1.6267, time 289.99ms, mfu 1.18%
iter 550: loss 1.5703, time 289.08ms, mfu 1.20%
iter 560: loss 1.5624, time 306.79ms, mfu 1.20%
iter 570: loss 1.5714, time 309.74ms, mfu 1.20%
iter 580: loss 1.5372, time 295.68ms, mfu 1.20%
iter 590: loss 1.4977, time 294.00ms, mfu 1.21%
iter 600: loss 1.5232, time 294.77ms, mfu 1.22%
iter 610: loss 1.5493, time 288.64ms, mfu 1.22%
iter 620: loss 1.5369, time 287.78ms, mfu 1.23%
iter 630: loss 1.5112, time 289.55ms, mfu 1.24%
